code	species	origin	life_span	form	family	speciesID	location
Het_con	"Heteropogon contortus"	Native	Perennial	Grass	Poaceae	1	2
Lob_con	"Lobelia concolor"	Native	Perennial	Herb	Campanulaceae	1	1
Pol_cal	"Polymeria calycina"	Native	Perennial	Herb	Convolvulaceae	1	1
Bid_pil	"Bidens pilosa"	Exotic	Annual	Herb	Asteraceae	1	2
Gal_ten	"Galactia tenuiflora"	Native	Perennial	Legume	Fabaceae	1	2
Mel_rep	"Melinis repens"	Exotic	Perennial	Grass	Poaceae	1	2
Gom_fru	"Gomphocarpus fruticosus"	Exotic	Perennial	Herb	Apocynaceae	1	1
Hyd_lax	"Hydrocotyle laxiflora"	Native	Perennial	Herb	Araliaceae	1	2
Sig_ori	"Sigesbeckia orientalis"	Native	Annual	Herb	Asteraceae	1	2
Cyp_gra	"Cyperus gracilis"	Native	Perennial	Sedge/Rush	Cyperaceae	1	2
Scl_mac	"Scleria mackaviensis"	Native	Perennial	Sedge/Rush	Cyperaceae	1	1
The_tri	"Themeda triandra"	Native	Perennial	Grass	Poaceae	1	3
Cha_nom	"Chamaecrista nomame"	Native	Annual	Legume	Fabaceae	1	1
Des_rhy	"Desmodium rhytidophyllum"	Native	Perennial	Legume	Fabaceae	1	1
Era_bro	"Eragrostis brownii"	Native	Perennial	Grass	Poaceae	1	1
Cap_spi	"Capillipedium spicigerum"	Native	Perennial	Grass	Poaceae	1	2
Ari_que	"Aristida queenslandica"	Native	Perennial	Grass	Poaceae	1	2
Mic_sti	"Microlaena stipoides"	Native	Perennial	Grass	Poaceae	1	1
Gly_wig	"Glycine wightii"	Exotic	Perennial	Legume	Fabaceae	1	2
Zor_dyc	"Zornia dyctiocarpa"	Native	Perennial	Legume	Fabaceae	1	1
Dic_ser	"Dichanthium sericeum"	Native	Perennial	Grass	Poaceae	1	1
Lan_cam	"Lantana camara"	Exotic	Perennial	Shrub	Verbenaceae	1	2
Rhy_min	"Rhynchosia minima"	Native	Annual	Legume	Fabaceae	1	1
Pan_dec	"Panicum decompositum"	Native	Perennial	Grass	Poaceae	1	2
Ger_sol	"Geranium solanderi"	Native	Perennial	Herb	Geraniaceae	1	2
Ech_ova	"Echinopogon ovatus"	Native	Perennial	Grass	Poaceae	1	1
Sen_occ	"Senna occidentalis"	Exotic	Perennial	Shrub	Fabaceae	1	1
Pas_dia	"Paspalum dilatatum"	Exotic	Perennial	Grass	Poaceae	1	1
Cro_lan	"Crotalaria lanceolata"	Exotic	Annual	Legume	Fabaceae	1	2
Con_bon	"Conyza bonariensis"	Exotic	Annual	Herb	Asteraceae	1	2
