code	species	origin	life_span	form	family	speciesID	location	legume
Imp_cyl	"Imperata cylindrica"	Native	Perennial	Grass	Poaceae	1	0	0
Het_con	"Heteropogon contortus"	Native	Perennial	Grass	Poaceae	1	2	0
Bid_pil	"Bidens pilosa"	Exotic	Annual	Herb	Asteraceae	1	2	0
Son_ole	"Sonchus oleraceus"	Exotic	Annual	Herb	Asteraceae	1	0	0
Son_asp	"Sonchus asper"	Exotic	Annual/Biennial	Herb	Asteraceae	1	0	0
Por_ole	"Portulaca oleracea"	Native	Annual	Herb	Portulacaceae	1	0	0
Ein_nut	"Einadia nutans"	Native	Perennial	Herb	Chenopodiaceae	1	2	0
Sen_mad	"Senecio madagascariensis"	Exotic	Annual	Herb	Asteraceae	1	2	0
Pas_foe	"Passiflora foetida"	Exotic	Perennial	Herb	Passifloraceae	1	0	0
Gam_cal	"Gamochaeta calviceps"	Exotic	Annual	Herb	Asteraceae	1	0	0
Cyp_gra	"Cyperus gracilis"	Native	Perennial	Sedge/Rush	Cyperaceae	1	2	0
Cyp_agg	"Cyperus aggregatus"	Exotic	Perennial	Sedge/Rush	Cyperaceae	1	0	0
Con_bon	"Conyza bonariensis"	Exotic	Annual	Herb	Asteraceae	1	2	0
Rum_bro	"Rumex brownii"	Native	Perennial	Herb	Polygonaceae	1	0	0
Ver_lit	"Verbena litoralis"	Exotic	Annual	Herb	Verbenaceae	1	2	0
Ver_bon	"Verbena bonariensis"	Exotic	Perennial	Herb	Verbenaceae	1	0	0
Oxa_cor	"Oxalis corniculata"	Exotic	Perennial	Herb	Oxalidaceae	1	2	0
Eup_dru	"Euphorbia drummondii"	Native	Perennial	Herb	Euphorbiaceae	1	0	0
Euc_cre	"Eucalyptus crebra"	Native	Perennial	Tree	Myrtaceae	1	2	0
Gal_ten	"Galactia tenuiflora"	Native	Perennial	Herb	Fabaceae	1	2	1
Sol_nig	"Solanum nigrum"	Exotic	Perennial	Herb	Solanaceae	1	2	0
Lan_cam	"Lantana camara"	Exotic	Perennial	Shrub	Verbenaceae	1	2	0
Dic_rep	"Dichondra repens"	Native	Perennial	Herb	Convolvulaceae	1	0	0
Gly_wig	"Glycine wightii"	Exotic	Perennial	Herb	Fabaceae	1	2	1
Wah_gra	"Wahlenbergia gracilis"	Native	Perennial	Herb	Campanulaceae	1	2	0
Lob_pur	"Lobelia purpurascens"	Native	Perennial	Herb	Campanulaceae	1	0	0
Ger_sol	"Geranium solanderi"	Native	Perennial	Herb	Geraniaceae	1	0	0
Hyd_lax	"Hydrocotyle laxiflora"	Native	Perennial	Herb	Araliaceae	1	2	0
Euc_sph	"Euchiton sphaericus"	Native	Perennial	Herb	Asteraceae	1	0	0
Bot_bla	"Bothriochloa bladhii"	Native	Perennial	Grass	Poaceae	1	2	0
Ari_que	"Aristida queenslandica"	Native	Perennial	Grass	Poaceae	1	2	0
The_aus	"Thesium australe"	Native	Perennial	Herb	Santalaceae	1	0	0
Gly_tab	"Glycine tabacina"	Native	Perennial	Herb	Fabaceae	1	2	1
Sig_ori	"Sigesbeckia orientalis"	Native	Annual	Herb	Asteraceae	1	2	0
Cyp_dif	"Cyperus difformis"	Native	Perennial	Sedge/Rush	Cyperaceae	1	2	0
Cyp_bre	"Cyperus brevifolius"	Exotic	Perennial	Sedge/Rush	Cyperaceae	1	2	0
Dig_par	"Digitaria parviflora"	Native	Perennial	Grass	Poaceae	1	0	0
Spo_cre	"Sporobolus creber"	Native	Perennial	Grass	Poaceae	1	2	0
Pas_dis	"Paspalidium distans"	Native	Perennial	Grass	Poaceae	1	2	0
Pan_eff	"Panicum effusum"	Native	Perennial	Grass	Poaceae	1	2	0
Mel_rep	"Melinis repens"	Exotic	Perennial	Grass	Poaceae	1	2	0
Spo_elo	"Sporobolus elongatus "	Native	Perennial	Grass	Poaceae	1	0	0
Pan_dec	"Panicum decompositum"	Native	Perennial	Grass	Poaceae	1	2	0
Chl_ven	"Chloris ventricosa"	Native	Perennial	Grass	Poaceae	1	0	0
Cym_ref	"Cymbopogon refractus"	Native	Perennial	Grass	Poaceae	1	2	0
Cyp_pol	"Cyperus polystachyos"	Native	Perennial	Sedge/Rush	Cyperaceae	1	0	0
Cap_spi	"Capillipedium spicigerum"	Native	Perennial	Grass	Poaceae	1	2	0
