code	species	origin	life_span	form	family
Son_ole	"Sonchus oleraceus"	Exotic	Annual	Herb	Asteraceae
Son_asp	"Sonchus asper"	Exotic	Annual/Biennial	Herb	Asteraceae
Por_ole	"Portulaca oleracea"	Native	Annual	Herb	Portulacaceae
Ein_nut	"Einadia nutans"	Native	Perennial	Herb	Chenopodiaceae
Sen_mad	"Senecio madagascariensis"	Exotic	Annual	Herb	Asteraceae
Pas_foe	"Passiflora foetida"	Exotic	Perennial	Herb	Passifloraceae
Gam_cal	"Gamochaeta calviceps"	Exotic	Annual	Herb	Asteraceae
Cyp_gra	"Cyperus gracilis"	Native	Perennial	Sedge/Rush	Cyperaceae
Cyp_agg	"Cyperus aggregatus"	Exotic	Perennial	Sedge/Rush	Cyperaceae
Con_bon	"Conyza bonariensis"	Exotic	Annual	Herb	Asteraceae
Rum_bro	"Rumex brownii"	Native	Perennial	Herb	Polygonaceae
Ver_lit	"Verbena litoralis"	Exotic	Annual	Herb	Verbenaceae
Ver_bon	"Verbena bonariensis"	Exotic	Perennial	Herb	Verbenaceae
Oxa_cor	"Oxalis corniculata"	Exotic	Perennial	Herb	Oxalidaceae
Eup_dru	"Euphorbia drummondii"	Native	Perennial	Herb	Euphorbiaceae
Euc_cre	"Eucalyptus crebra"	Native	Perennial	Tree	Myrtaceae
Gal_ten	"Galactica tenuifolia"	Native	Perennial	Legume	Fabaceae
Sol_nig	"Solanum nigrum"	Exotic	Perennial	Herb	Solanaceae
Lan_cam	"Lantana camara"	Exotic	Perennial	Shrub	Verbenaceae
Dic_rep	"Dichondra repens"	Native	Perennial	Herb	Convolvulaceae
Gly_wig	"Glycine wightii"	Exotic	Perennial	Legume	Fabaceae
Wah_gra	"Wahlenbergia gracilis"	Native	Perennial	Herb	Campanulaceae
Lob_pur	"Lobelia purpurascens"	Native	Perennial	Herb	Campanulaceae
Ger_sol	"Geranium solanderi"	Native	Perennial	Herb	Geraniaceae
Hyd_lax	"Hydrocotyle laxiflora"	Native	Perennial	Herb	Araliaceae
Euc_sph	"Euchiton sphaericus"	Native	Perennial	Herb	Asteraceae
Bot_bla	"Bothriochloa bladhii"	Native	Perennial	Grass	Poaceae
Ari_que	"Aristida queenslandica"	Native	Perennial	Grass	Poaceae
The_aus	"Thesium australe"	Native	Perennial	Herb	Santalaceae
Gly_tab	"Glycene tabacina"	Native	Perennial	Legume	Fabaceae
Sig_ori	"Sigesbeckia orientalis"	Native	Annual	Herb	Asteraceae
Cyp_dif	"Cyperus difformis"	Native	Perennial	Sedge/Rush	Cyperaceae
Cyp_bre	"Cyperus brevifolus"	Exotic	Perennial	Sedge/Rush	Cyperaceae
Dig_par	"Digitaria parviflora"	Native	Perennial	Grass	Poaceae
Spo_cre	"Sporobolus creber"	Native	Perennial	Grass	Poaceae
Pas_dis	"Paspalidium distans"	Native	Perennial	Grass	Poaceae
Pan_eff	"Panicum effusum"	Native	Perennial	Grass	Poaceae
Mel_rep	"Melinis repens"	Exotic	Perennial	Grass	Poaceae
Spo_elo	"Sporobolus elongatus "	Native	Perennial	Grass	Poaceae
Pan_dec	"Panicum decompositum"	Native	Perennial	Grass	Poaceae
Chl_ven	"Chloris ventricosa"	Native	Perennial	Grass	Poaceae
Cym_ref	"Cymbopogon refractus"	Native	Perennial	Grass	Poaceae
Cyp_pol	"Cyperus polystachyos"	Native	Perennial	Sedge/Rush	Cyperaceae
Cap_spi	"Capillipedium spicigerum"	Native	Perennial	Grass	Poaceae
Cyn_dac	"Cynodon dactylon"	Exotic	Perennial	Grass	Poaceae
Bot_dec	"Bothriochloa decipiens"	Native	Perennial	Grass	Poaceae
Era_lep	"Eragrostis leptostachya"	Native	Perennial	Grass	Poaceae
Cro_mon	"Crotalaria montana"	Native	Annual	Herb	Fabaceae
Cro_lan	"Crotalaria lanceolata"	Exotic	Annual	Herb	Fabaceae
Les_jun	"Lespedeza juncea"	Native	Perennial	Herb	Leguminosae
Sid_acu	"Sida acuta"	Exotic	Perennial	Herb	Malvaceae
Hyp_rad	"Hypochaeris radicata"	Exotic	Perennial	Herb	Asteraceae
Men_sat	"Mentha satureioides"	Native	Perennial	Herb	Lamiaceae
Mal_ame	"Malvastrum americanum"	Exotic	Perennial	Herb	Malvaceae
Con_can	"Conyza canadensis"	Exotic	Annual	Herb	Asteraceae
Lag_gra	"Lagenophora gracilis"	Exotic	Perennial	Herb	Asteraceae
Cal_cun	"Calotis cuneifolia"	Native	Perennial	Herb	Asteraceae
Gre_ret	"Grewia retusifolia"	Exotic	Annual	Shrub	Sparrmanniaceae
Gal_par	"Galinsoga parviflora"	Exotic	Annual	Herb	Asteraceae
Mec_pro	"Mecardonia procumbens"	Exotic	Perennial	Herb	Plantaginaceae
Car_hir	"Cardamine hirsuta"	Exotic	Annual	Herb	Brassicaceae
Cra_cre	"Crassocephalum crepidioides"	Exotic	Annual	Herb	Asteraceae
Lac_ser	"Lactuca serriola"	Exotic	Annual	Herb	Asteraceae
Ros_ads	"Rostellularia adscendens"	Native	Perennial	Herb	Acanthaceae
Cys_pro	"Cystopteris protrusa"	Exotic	Perennial	Herb	Dryopteridaceae
Nep_cor	"Nephrolepis cordifolia"	Native	Perennial	Herb	Nephrolepidaceae
Lob_pur	"Lobelia purpurascens"	Native	Perennial	Herb	Campanulaceae
Cir_vul	"Cirsium vulgare"	Exotic	Biennial	Herb	Asteraceae
