transect	quadrat	location	burn_trt	year	quadratID	survey_date	cover	plot_size	species	sp
T01	Q1	BCCA1	Burn	2023	T01.Q1	28/05/2023	75	1	"Themeda triandra"	The_tri
T01	Q1	BCCA1	Burn	2023	T01.Q1	28/05/2023	2	1	"Desmodium rhytidophyllum"	Des_rhy
T01	Q1	BCCA1	Burn	2023	T01.Q1	28/05/2023	0.1	1	"Neptunia gracilis"	Nep_gra
T01	Q1	BCCA1	Burn	2023	T01.Q1	28/05/2023	1	1	"Heteropogon contortus"	Het_con
T01	Q1	BCCA1	Burn	2023	T01.Q1	28/05/2023	1	1	"Panicum decompositum"	Pan_dec
T01	Q1	BCCA1	Burn	2023	T01.Q1	28/05/2023	4	1	"Lantana camara"	Lan_cam
T01	Q1	BCCA1	Burn	2023	T01.Q1	28/05/2023	0.1	1	"Hybanthus stellarioides"	Hyb_ste
T01	Q1	BCCA1	Burn	2023	T01.Q1	28/05/2023	0.1	1	"Cyanthillium cinereum"	Cya_cin
T01	Q1	BCCA1	Burn	2023	T01.Q1	28/05/2023	0.5	1	"Galactia tenuiflora"	Gal_ten
T01	Q1	BCCA1	Burn	2023	T01.Q1	28/05/2023	0.1	1	"Bidens pilosa"	Bid_pil
T01	Q1	BCCA1	Burn	2023	T01.Q1	28/05/2023	16.1	1	"Litter"	Litter
T01	Q1	BCCA1	Burn	2023	T01.Q1	28/05/2023	1	5	"Corymbia citriodora"	Cor_cit
T01	Q1	BCCA1	Burn	2023	T01.Q1	28/05/2023	2	5	"Eucalyptus crebra"	Euc_cre
T01	Q1	BCCA1	Burn	2023	T01.Q1	28/05/2023	6	5	"Lantana camara"	Lan_cam
T01	Q1	BCCA1	Burn	2023	T01.Q1	28/05/2023	1	5	"Eucalyptus crebra"	Euc_cre
T01	Q1	BCCA1	Burn	2023	T01.Q1	28/05/2023	2	5	"Acacia leiocalyx"	Aca_lei
T01	Q2	BCCA1	Burn	2023	T01.Q2	28/05/2023	20	1	"Melinis repens"	Mel_rep
T01	Q2	BCCA1	Burn	2023	T01.Q2	28/05/2023	6	1	"Rostellularia adscendens"	Ros_ads
T01	Q2	BCCA1	Burn	2023	T01.Q2	28/05/2023	12	1	"Cymbopogon refractus"	Cym_ref
T01	Q2	BCCA1	Burn	2023	T01.Q2	28/05/2023	3	1	"Themeda triandra"	The_tri
T01	Q2	BCCA1	Burn	2023	T01.Q2	28/05/2023	3	1	"Aristida queenslandica"	Ari_que
T01	Q2	BCCA1	Burn	2023	T01.Q2	28/05/2023	0.5	1	"Galactia tenuiflora"	Gal_ten
T01	Q2	BCCA1	Burn	2023	T01.Q2	28/05/2023	0.1	1	"Crotalaria montana"	Cro_mon
T01	Q2	BCCA1	Burn	2023	T01.Q2	28/05/2023	1	1	"Sorghum leiocladum"	Sor_lei
T01	Q2	BCCA1	Burn	2023	T01.Q2	28/05/2023	0.5	1	"Eustrephus latifolius"	Eus_lat
T01	Q2	BCCA1	Burn	2023	T01.Q2	28/05/2023	1	1	"Heteropogon contortus"	Het_con
T01	Q2	BCCA1	Burn	2023	T01.Q2	28/05/2023	42.9	1	"Litter"	Litter
T01	Q2	BCCA1	Burn	2023	T01.Q2	28/05/2023	10	1	"Rock"	Rock
T01	Q2	BCCA1	Burn	2023	T01.Q2	28/05/2023	1	5	"Eucalyptus crebra"	Euc_cre
T01	Q2	BCCA1	Burn	2023	T01.Q2	28/05/2023	1	5	"Alphitonia excelsa"	Alp_exc
T01	Q2	BCCA1	Burn	2023	T01.Q2	28/05/2023	1	5	"Lantana camara"	Lan_cam
T01	Q2	BCCA1	Burn	2023	T01.Q2	28/05/2023	1	5	"Corymbia tessellaris"	Cor_tes
T01	Q2	BCCA1	Burn	2023	T01.Q2	28/05/2023	1	5	"Alphitonia excelsa"	Alp_exc
T01	Q3	BCCA1	Burn	2023	T01.Q3	28/05/2023	13	1	"Bothriochloa bladhii"	Bot_bla
