species	sp	speciesID	origin	duration	func_group	family
"Acacia concurrens"	Aca_con	1	Native	Perennial	Tree	Fabaceae
"Acacia leiocalyx"	Aca_lei	1	Native	Perennial	Tree	Fabaceae
"Acacia maidenii"	Aca_mai	1	Native	Perennial	Tree	Fabaceae
"Acacia neobrachycarpa"	Aca_neo	1	Native	Perennial	Shrub	Fabaceae
"Acacia salicina"	Aca_sal	1	Native	Perennial	Tree	Fabaceae
"Acacia spp_T36"	Aca_T36	0	NA	Perennial	Shrub	Fabaceae
"Alectryon connatus"	Ale_con	1	Native	Perennial	Tree	Sapindaceae
"Alectryon pubescens"	Ale_pub	1	Native	Perennial	Tree	Sapindaceae
"Allocasuarina luehmannii"	All_lue	1	Native	Perennial	Tree	Casuarinaceae
"Alphitonia excelsa"	Alp_exc	1	Native	Perennial	Tree	Rhamnaceae
"Angophora subvelutina"	Ang_sub	1	Native	Perennial	Tree	Myrtaceae
"Aristida calycina"	Ari_cal	1	Native	Perennial	Grass	Poaceae
"Aristida queenslandica"	Ari_que	1	Native	Perennial	Grass	Poaceae
"Asparagus africanus"	Asp_afr	1	Exotic	Perennial	Vine	Asparagaceae
"Asperula conferta"	Asp_con	1	Native	Perennial	Herb	Rubiaceae
"Asteraceae spp_unknown1 "	Dai_ros	0	NA	NA	Herb	NA
"Asteraceae_unknown2"	Dai_str	0	NA	NA	Herb	NA
"Bare ground"	Bare	1	Bare_ground	NA	NA	NA
"Bidens pilosa"	Bid_pil	1	Exotic	Annual	Herb	Asteraceae
"Bothriochloa bladhii"	Bot_bla	1	Native	Perennial	Grass	Poaceae
"Bothriochloa decipiens"	Bot_dec	1	Native	Perennial	Grass	Poaceae
"Brachychiton populneus"	Bra_pop	1	Native	Perennial	Tree	Malvaceae
"Breynia oblongifolia"	Bre_obl	1	Native	Perennial	Tree	Phyllanthaceae
"Brunoniella acaulis"	Bru_aca	1	Native	Perennial	Herb	Acanthaceae
"Capillipedium spicigerum"	Cap_spi	1	Native	Perennial	Grass	Poaceae
"Chamaecrista nomame"	Cha_nom	1	Native	Annual	Legume	Fabaceae
"Chloris ventricosa"	Chl_ven	1	Native	Perennial	Grass	Poaceae
"Chrysocephalum apiculatum"	Chr_api	1	Native	Perennial	Herb	Asteraceae
"Chrysopogon fallax"	Chr_fal	1	Native	Perennial	Grass	Poaceae
"Cirsium vulgare"	Cir_vul	1	Exotic	Annual	Herb	Asteraceae
"Conyza bonariensis"	Con_bon	1	Exotic	Annual	Herb	Asteraceae
"Corchorus trilocularis"	Cor_tri	1	Native	Perennial	Herb	Sparrmanniaceae
"Corymbia citriodora"	Cor_cit	1	Native	Perennial	Tree	Myrtaceae
"Corymbia intermedia"	Cor_int	1	Native	Perennial	Tree	Myrtaceae
"Corymbia tessellaris"	Cor_tes	1	Native	Perennial	Tree	Myrtaceae
"Crotalaria incana"	Cro_inc	1	Exotic	Perennial	Legume	Fabaceae
"Crotalaria lanceolata"	Cro_lan	1	Exotic	Annual	Legume	Fabaceae
"Crotalaria montana"	Cro_mon	1	Native	Annual	Legume	Fabaceae
"Cuscuta campestris"	Cus_cam	1	Exotic	Annual	Vine	Convolvulaceae
"Cyanthillium cinereum"	Cya_cin	1	Native	Perennial	Herb	Asteraceae
"Cymbopogon refractus"	Cym_ref	1	Native	Perennial	Grass	Poaceae
"Cynodon dactylon"	Cyn_dac	1	Exotic	Perennial	Grass	Poaceae
"Cyperus brevifolius"	Cyp_bre	1	Exotic	Perennial	Sedge/Rush	Cyperaceae
"Cyperus difformis"	Cyp_dif	1	Native	Perennial	Sedge/Rush	Cyperaceae
"Cyperus gracilis"	Cyp_gra	1	Native	Perennial	Sedge/Rush	Cyperaceae
"Desmodium brachypoda"	Des_bra	1	Native	Perennial	Legume	Fabaceae
"Desmodium gangeticum"	Des_gan	1	Native	Perennial	Legume	Fabaceae
"Desmodium rhytidophyllum"	Des_rhy	1	Native	Perennial	Legume	Fabaceae
"Desmodium varians"	Des_var	1	Native	Perennial	Legume	Fabaceae
"Dianella caerulea"	Dia_cer	1	Native	Perennial	Herb	Asphodelaceae
"Dichanthium annulatum"	Dic_ann	1	Exotic	Perennial	Grass	Poaceae
"Dichanthium aristatum"	Dic_ari	1	Exotic	Perennial	Grass	Poaceae
"Dichanthium sericeum"	Dic_ser	1	Native	Perennial	Grass	Poaceae
"Dichelachne crinita"	Dic_cri	1	Native	Perennial	Grass	Poaceae
"Dichondra repens"	Dic_rep	1	Native	Perennial	Herb	Convolvulaceae
"Digitaria ciliaris"	Dig_cil	1	Exotic	Annual	Grass	Poaceae
"Digitaria divaricatissima"	Dig_div	1	Native	Perennial	Grass	Poaceae
"Digitaria sanguinalis"	Dig_san	1	Exotic	Annual	Grass	Poaceae
"Dodonaea viscosa"	Don_vis	1	Native	Perennial	Shrub	Sapindaceae
"Echinopogon ovatus"	Ech_ova	1	Native	Perennial	Grass	Poaceae
"Einadia nutans"	Ein_nut	1	Native	Perennial	Herb	Chenopodiaceae
"Entolasia stricta"	Ent_str	1	Native	Perennial	Grass	Poaceae
